HUNDRED_BLOCK,LATITUDE,LONGITUDE
64XX FRASER ST,49.226505,-123.090568
10XX CHILCO ST,49.290566,-123.142683
9XX W 7TH AVE,49.265124,-123.124345
1XX W 1ST AVE,49.270199,-123.106736
14XX BARCLAY ST,49.286574,-123.132192
1XX W HASTINGS ST,49.282015,-123.107326
11XX GRANT ST,49.271222,-123.079250
15XX JOHNSTON ST,49.271000,-123.133810
34XX CROWLEY DR,49.237406,-123.032500
14XX KINGSWAY AVE,49.250125,-123.076278
12XX MARINASIDE CRES,49.272885,-123.120015
24XX E HASTINGS ST,49.281157,-123.056401
4XX INDUSTRIAL AVE,49.269351,-123.095907
3XX ALEXANDER ST,49.284052,-123.097737
15XX SW MARINE DR,49.205297,-123.141297
7XX E CORDOVA ST,49.282081,-123.089372
3XX RAILWAY ST,49.284323,-123.097758
17XX KINGSWAY AVE,49.246843,-123.069450
6XX EVANS AVE,49.272579,-123.091954
1XX DUNLEVY AVE,49.283170,-123.095287
2XX E HASTINGS ST,49.281209,-123.032273
11XX HOWE ST,49.278799,-123.125676
6XX STAMPS LAND,49.282729,-123.120738
8XX E HASTINGS ST,49.281103,-123.087018
4XX W HASTINGS ST,49.283420,-123.110995
9XX W 16TH AVE,49.257054,-123.138838
1XX VICTORIA DR,49.283898,-123.065516
26XX GRANVILLE ST,49.262401,-123.138260
31XX PRINCE EDWARD ST,49.257610,-123.096432
1XX E 6TH AVE,49.265543,-123.102842
43XX W 10TH AVE,49.263735,-123.203176
5XX GREAT NORTHERN WAY,49.266758,-123.091002
14XX WILLIAM ST,49.274026,-123.075957
11XX W PENDER ST,49.287556,-123.120566
37XX W 28TH AVE,49.247108,-123.186663
6XX HOWE ST,49.284262,-123.117381
15XX E HASTINGS ST,49.281219,-123.073862
25XX FRASER ST,49.262574,-123.089099
33XX FRASER ST,49.255518,-123.089848
5XX CLARK DR,49.280386,-123.077087
20XX W 12TH AVE,49.260764,-123.150954
44XX DUNBAR ST,49.247113,-123.185203
44XX MAIN ST,49.245648,-123.101221
20XX W 41ST AVE,49.234627,-123.152711
8XX W 41ST AVE,49.233757,-123.123796
1XX DAVIE ST,49.273113,-123.120020
42XX ARBUTUS ST,49.247462,-123.153224
1XX POWELL ST,49.283127,-123.101884
