HUNDRED_BLOCK,LATITUDE,LONGITUDE
49XX CARTIER ST,49.241300,-123.136907
13XX HORNBY ST,49.277215, -123.129708
6XX MAIN ST,49.279459,-123.099720
3XX WATER ST,49.283961,-123.107280
1XX ABBOTT ST,49.284344,-123.106188
20XX MACDONALD ST,49.268366,-123.168297
19XX E 37TH AVE,49.236665,-123.067176
5XX W 14TH AVE,49.258727,-123.115160
17XX COLUMBIA ST,49.270238,-123.109395
16XX KINGSWAY AVE,49.247957,-123.071243
20XX TRAFALGAR ST,49.268337,-123.164526
56XX MAIN ST,49.234464,-123.101555
24XX E HASTINGS ST,49.281157,-123.056401
10XX BURNABY ST,49.278450,-123.130358
10XX GRANVILLE ST,49.279230,-123.123104
10XX SW MARINE DR,49.204299,-123.130862
8XX E HASTINGS ST,49.281103,-123.087018
10XX HARWOOD ST,49.277751,-123.131414
34XX MONS DR,49.251930,-123.031062
13XX VERNON DR,49.273082,-123.078643
1XX E HASTINGS ST,49.281374,-123.102133
17XX POWELL ST,49.283845,-123.070214
8XX GRANVILLE ST,49.281069,-123.119703
4XX E 11TH AVE,49.260684,-123.096189
54XX BAILLIE ST,49.236592,-123.122245
16XX COMOX ST,49.286574,-123.136464
41XX MAIN ST,49.248733,-123.101026
29XX VIRTUAL WAY,49.261023,-123.044010
1XX WATER ST,49.283867,-123.106536
7XX THURLOW ST,49.285609,-123.123277
9XX CLARK DR,49.276737,-123.077167
29XX GRANVILLE ST,49.205941,-123.140641
21XX W 4TH AVE,49.268151,-123.152906
14XX KINGSWAY AVE,49.250125,-123.076278
4XX SE MARINE DR,49.210309,-123.097125
15XX CHARLES ST,49.273063,-123.073256
3XX W 42ND AVE,49.232501,-123.115416
1XX DAVIE ST,49.273113,-123.120020
13XX W 71ST AVE,49.206995,-123.136104
7XX BURRARD ST,49.284416,-123.121085
37XX W 6TH AVE,49.266902,-123.185870
4XX W 41ST AVE,49.233424,-123.114215
29XX MAIN ST,49.259001,-123.101029
10XX SALSBURY DR,49.275698,-123.067540
25XX NANAIMO ST,49.240868,-123.058637
15XX E 6TH AVE,49.265027,-123.073210
21XX W 44TH AVE,49.231866,-123.156465
2XX ROBSON ST,49.278217,-123.114990
22XX KINGSWAY AVE,49.243591,-123.061931
28XX CLARK DR,49.260122,-123.077417
26XX W 50TH AVE,49.225828,-123.137357
3XX E BROADWAY AVE,49.262845,-123.099096
23XX W 2ND AVE,49.269961,-123.157317
10XX W 12TH AVE,49.260535,-123.126622
2XX BURRARD ST,49.287663,-123.115200
1XX E PENDER ST,49.280172,-123.102144
10XX BURRARD ST,49.279857,-123.126606
14XX NANTON AVE,49.247389,-123.136548
16XX W 3RD AVE,49.268851,-123.140691
3XX ABBOTT ST,49.282948,-123.106734
80XX LABURNUM ST,49.213222,-123.150459
66XX MARINE CRES,49.226196,-123.163807
41XX NANAIMO ST,49.240935,-123.058622
1XX KEEFER PL,49.279805,-123.108260
11XX MAIN ST,49.272417,-123.099937
35XX W 41ST AVE,49.234751,-123.182152
52XX JOYCE ST,49.237434,-123.032586
30XX NANAIMO ST,49.256717,-123.056529
36XX VICTORIA DR,49.252939,-123.066245
13XX ROBSON ST,49.287092,-123.129270
26XX RUPERT ST,49.261120,-123.033639
8XX CAMBIE ST,49.278149,-123.115018
11XX SEYMOUR ST,49.277518,-123.123691
21XX W 3RD AVE,49.268757,-123.153187
1XX W PENDER ST,49.281093,-123.107610
11XX ROBSON ST,49.284711,-123.125263
63XX FRASER ST,49.227390,-123.090685
7XX W PENDER ST,49.284763,-123.115383
22XX W BROADWAY AVE,49.263857,-123.155461
36XX W BROADWAY AVE,49.264333,-123.183889
11XX GRANVILLE ST,49.277731,-123.124643
5XX RICHARDS ST,49.283025,-123.113408
10XX HOWE ST,49.279849,-123.124092
20XX W BROADWAY AVE,49.263741,-123.150955
35XX KINGSWAY AVE,49.231979,-123.029302
17XX MANITOBA ST,49.270392,-123.106724
51XX VICTORIA DR,49.238101,-123.065369
5XX SEYMOUR ST,49.283660,-123.114382
35XX E 11TH AVE,49.260094,-123.053090
32XX MAIN ST,49.256535,-123.101219
11XX NELSON ST,49.282423,-123.127919
31XX E 54TH AVE,49.220177,-123.041406
22XX NANAIMO ST,49.264811,-123.056581
23XX W 10TH AVE,49.262955,-123.157917
19XX E 49TH AVE,49.225179,-123.067388
33XX MAIN ST,49.255730,-123.101256
21XX FRANKLIN ST,49.282076,-123.061591
15XX STANLEY PARK DR,49.298003,-123.125170
7XX STANLEY PARK DR,49.297084,-123.134263
18XX E PENDER ST,49.280271,-123.068277
10XX BEACH AVE,49.275783,-123.133854
22XX YORK AVE,49.271571,-123.155235
8XX EXPO BLVD,49.276409,-123.114003
14XX COMMERCIAL DR,49.272107,-123.069538
